ANLYS_ID,GLAC_ID,AREA,DB_AREA,WIDTH,LENGTH,PRIMECLASS,MIN_ELEV,MEAN_ELEV,MAX_ELEV,SRC_DATE,REC_STATUS,GLAC_NAME,WGMS_ID,LOCAL_ID,GLAC_STAT,GEOG_AREA,PARENT_ID,DATE,YEAR,MONTH,longitude,latitude
101215,G286929E46788S,12.4259,12.4292,0.0,4786.66,0,0,0,0,2007-09-06T00:00:00,okay,None,None,CLGC-9,exists,Antarctic Peninsula,,2007-09-06 00:00:00,2007,9,-73.071,-46.788000000000004
101886,G286929E46788S,13.1393,13.1428,0.0,4786.66,0,0,0,0,2001-08-04T00:00:00,okay,None,None,CLGC-9,exists,Antarctic Peninsula,,2001-08-04 00:00:00,2001,8,-73.071,-46.788000000000004
102506,G286929E46788S,15.3202,15.3244,0.0,5285.27,0,0,0,0,1870-01-01T00:00:00,okay,None,None,CLGC-9,exists,Antarctic Peninsula,,1870-01-01 00:00:00,1870,1,-73.071,-46.788000000000004
107884,G286929E46788S,13.6053,13.6089,0.0,5270.57,0,0,0,0,1986-01-14T00:00:00,okay,None,None,CLGC-9,exists,Antarctic Peninsula,,1986-01-14 00:00:00,1986,1,-73.071,-46.788000000000004
101146,G286719E46755S,80.2842,80.3127,0.0,10225.6,0,0,0,0,2007-09-06T00:00:00,okay,None,None,NPI-32,exists,Antarctic Peninsula,,2007-09-06 00:00:00,2007,9,-73.281,-46.755
102307,G286719E46755S,82.3281,82.3572,0.0,10536.7,0,0,0,0,1974-06-30T00:00:00,okay,None,None,NPI-32,exists,Antarctic Peninsula,,1974-06-30 00:00:00,1974,6,-73.281,-46.755
101763,G286719E46755S,80.2842,80.3127,0.0,10225.6,0,0,0,0,2001-08-04T00:00:00,okay,None,None,NPI-32,exists,Antarctic Peninsula,,2001-08-04 00:00:00,2001,8,-73.281,-46.755
107826,G286719E46755S,80.0724,80.1009,0.0,10009.3,0,0,0,0,1986-01-14T00:00:00,okay,None,None,NPI-32,exists,Antarctic Peninsula,,1986-01-14 00:00:00,1986,1,-73.281,-46.755
102437,G286719E46755S,108.69,108.728,0.0,13793.1,0,0,0,0,1870-01-01T00:00:00,okay,None,None,NPI-32,exists,Antarctic Peninsula,,1870-01-01 00:00:00,1870,1,-73.281,-46.755
313243,G286719E46755S,7.683,65.9919,0.0,0.0,0,0,0,0,2000-06-15T00:00:00,okay,None,None,NPI-32,exists,Randolph Glacier Inventory; Umbrella RC for merging the RGI into GLIMS,,2000-06-15 00:00:00,2000,6,-73.281,-46.755
