wgi_glacier_id, lat, lon, total_area, max_length, mean_elev, max_elev, min_elev, topo_year, primary_class, tongue_activity, area_acy 
AF5Q112C0001,35.388,69.258,0.19,0.7,4610,4750,4475,1959,6,0,3
AF5Q112C0008,35.362,69.294,0.78,2.3,4375,4500,4250,1959,6,0,3
AF5Q112C0028,35.469,69.591,0.45,0.9,4675,4800,4550,1959,6,0,3
AF5Q112C0033,35.483,69.607,0.14,0.4,4860,5000,4725,1959,6,0,3
AF5Q112C0047,35.567,69.769,2.28,3.5,4490,4800,4175,1959,5,0,3
AF5Q112C0053,35.752,69.908,0.06,0.6,4850,4950,4750,1959,6,0,3
AF5Q112C0054,35.753,69.923,0.16,0.8,4510,4650,4375,1959,6,0,3
AF5Q112C0056,35.773,69.917,0.14,0.7,4660,4750,4550,1959,6,0,3
AF5Q112C0057,35.772,69.951,0.06,0.5,4625,4775,4475,1959,6,0,3
AF5Q112C0059,35.788,69.955,0.13,0.5,4660,4800,4525,1959,6,0,3
AF5Q112C0065,35.753,69.992,0.17,0.6,4760,4900,4625,1959,6,0,3
AF5Q112C0066,35.767,70,0.16,0.6,4840,4950,4725,1959,6,0,3
AF5Q112C0081,35.839,70.175,0.38,0.9,4740,5200,4725,1959,6,0,3
AF5Q112C0098,35.738,70.257,0.08,0.5,4860,4950,4775,1959,6,0,3
AF5Q112C0117,35.609,70.158,0.19,0.7,5025,5125,4925,1959,6,0,3
AF5Q112C0123,35.6,70.153,0.19,0.8,4888,4975,4800,1959,6,0,3
AF5Q112C0137,35.472,70.084,0.22,0.6,4425,4525,4325,1959,6,0,3
AF5Q112C0138,35.475,70.073,0.16,0.6,4525,4575,4475,1959,6,0,3
AF5Q112C0237,35.167,69.733,0.19,0.8,4575,4650,4500,1959,6,0,3
AF5Q112C0242,35.184,69.625,0.13,0.3,4525,4600,4450,1959,6,0,3
AF5Q112C0243,35.187,69.618,0.19,0.6,4350,4500,4200,1959,6,0,3
AF5X14005004,38.033,70.707,1.69,1.9,4080,4250,3910,1959,6,0,3
AF5X14005006,38.038,70.738,0.22,1,4160,4370,3980,1959,6,0,3
AF5X14005007,38.019,70.741,0.44,1.6,4060,4250,3870,1959,6,0,3
AF5X14005009,38.017,70.753,0.56,1.6,3940,4130,3740,1959,6,0,3
AF5X14005010,38.022,70.753,0.34,1.1,4020,4220,3810,1959,6,0,3
AF5X14005011,38.036,70.75,0.1,1.3,4080,4290,3860,1959,6,0,3
AF5X14005013,38.042,70.791,0.28,1.2,4140,4330,3950,1959,6,0,3
AF5X14005016,38.017,70.808,0.38, ,3680,4020,3420,1959,6,0,3
AF5X14005017,38.022,70.804,0.09,0.5,4020,4130,3910,1959,6,0,3
AF5X14005018,38.035,70.802,0.9, ,4070,4330,3810,1959,6,0,3
AF5X14005021,38.053,70.836,0.34,1.1,4030,4210,3850,1959,6,0,3
AF5X14005022,38.04,70.853,0.19,0.8,4100,4220,3990,1959,6,0,3
AF5X14005024,38.033,70.858,0.34,0.7,3860,3980,3750,1959,6,0,3
AF5X14005025,38.038,70.857,0.38,0.9,4020,4230,3820,1959,6,0,3
AF5X14005028,38.019,70.935,0.59,1.1,4250,4520,3940,1959,6,0,3
AF5X14005029,38.007,70.922,0.81,0.5,4000,4210,3780,1959,6,0,3
AF5X14005033,38.167,70.95,1.69,2,4240,4450,4020,1959,6,0,3
AF5X14005037,38,70.968,1.25,1.3,4400,4660,4150,1959,6,0,3
AF5X14005038,38,71,1.38,0.7,4350,4520,4180,1959,6,0,3
AF5X14005039,37.95,71.005,11.34,5.4,4200,4875,3500,1960,6,0,3
AF5X14005040,37.95,70.968,1.19,3.3,3840,4500,3500,1960,6,0,3
AF5X14005041,37.933,70.983,4.38,4.2,4100,4620,3700,1960,6,0,3
AF5X14005042,37.933,70.952,0.19,0.8,4040,4180,3900,1960,6,0,3
AF5X14005043,37.903,70.969,5.5,4.8,3900,4320,3140,1960,6,0, 
AF5X14005044,37.888,70.957,0.44,1.8,4200,4420,3980,1960,6,0,3
AF5X14005045,37.883,70.967,0.69,1.8,4220,4420,4020,1960,6,0,3
AF5X14005046,37.867,70.95,3.38,3.4,4300,4540,3790,1960,6,0,3
AF5X14005047,37.867,70.933,4.38,3.8,4100,4460,3500,1960,6,0,3
AF5X14005049,37.888,70.919,0.28,0.9,4080,4300,3860,1960,6,0,3
AF5X14005051,37.888,70.908,1.44,1.7,4320,4610,3820,1960,6,0,3
AF5X14005054,37.908,70.886,0.53, ,4060,4300,3820,1960,6,0,3
AF5X14005055,37.919,70.886,0.63,0.7,4060,4220,3900,1960,6,0,3
AF5X14005056,37.933,70.883,0.56,1,3860,4020,3700,1960,6,0,3
AF5X14005057,37.933,70.872,0.19,0.7,3900,4020,3780,1960,6,0,3
